Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05013518,Central Greenford,-8,Does not apply,-8,Does not apply,0
E05013518,Central Greenford,-8,Does not apply,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05013518,Central Greenford,-8,Does not apply,2,L3: Higher professional occupations,0
E05013518,Central Greenford,-8,Does not apply,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05013518,Central Greenford,-8,Does not apply,4,L7: Intermediate occupations,0
E05013518,Central Greenford,-8,Does not apply,5,L8 and L9: Small employers and own account workers,0
E05013518,Central Greenford,-8,Does not apply,6,L10 and L11: Lower supervisory and technical occupations,0
E05013518,Central Greenford,-8,Does not apply,7,L12: Semi-routine occupations,0
E05013518,Central Greenford,-8,Does not apply,8,L13: Routine occupations,0
E05013518,Central Greenford,-8,Does not apply,9,L14.1: Never worked,0
E05013518,Central Greenford,-8,Does not apply,10,L14.2: Long-term unemployed,0
E05013518,Central Greenford,-8,Does not apply,11,L15: Full-time students,0
E05013518,Central Greenford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",-8,Does not apply,35
E05013518,Central Greenford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1,L1 and L2: Large employers and higher managerial and administrative occupations,5
E05013518,Central Greenford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",2,L3: Higher professional occupations,6
E05013518,Central Greenford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",15
E05013518,Central Greenford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4,L7: Intermediate occupations,12
E05013518,Central Greenford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",5,L8 and L9: Small employers and own account workers,5
E05013518,Central Greenford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",6,L10 and L11: Lower supervisory and technical occupations,5
E05013518,Central Greenford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7,L12: Semi-routine occupations,10
E05013518,Central Greenford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",8,L13: Routine occupations,9
E05013518,Central Greenford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",9,L14.1: Never worked,23
E05013518,Central Greenford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",10,L14.2: Long-term unemployed,1
E05013518,Central Greenford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",11,L15: Full-time students,11
E05013518,Central Greenford,2,"Asian, Asian British or Asian Welsh: Chinese",-8,Does not apply,18
